id,English,Russian,French,German,Spanish,Italian,Portuguese,ChineseSimplified,Turkish,Japanese,Korean,Arabic
sportAgencyUnlockLVL,Sport Agency is available at level {0},Спортивное Агенство доступно на Уровне {0},L'Agence de sport est disponible au niveau {0},Die Sportagentur ist ab Level {0} verfügbar,La agencia de deportes está disponible a nivel {0},L'Agenzia dello Sport è disponibile al livello {0},A Agência de esportes está disponível no nível {0},体育经纪公司在第{0}级可用,Spor Kulübü {0}. seviyede açılacaktır,スポーツエージェンシーはレベル {0} で利用可能です,스포츠 에이전시는 레벨 {0}에 이용할 수 있습니다.,تتوفر الوكالة الرياضية في المستوى  {0} 
sportStadiumUnlockHead,<color=#0080B0FF>Sport Stadium</color>,<color=#0080B0FF>Стадион</color>,<color=#0080B0FF>Stade de sport</color>,<color=#0080B0FF>Sportstadion</color>,<color=#0080B0FF>Estadio deportivo</color>,<color=#0080B0FF>Stadio dello sport</color>,<color=#0080B0FF>Estádio esportivo</color>,<color=#0080B0FF>体育场</color>,<color=#0080B0FF>Spor Stadyumu</color>,<color=#0080B0FF>スポーツスタジアム</color=#0080B0FF>,<color=#0080B0FF>스포츠 스타디움</color>,<color=#0080B0FF>الملعب الرياضي</color>
sportStadiumUnlockMsg,Competitions are Coming Soon,Соревнования находятся в стадии разработки,Les compétitions arrivent prochainement,Bald folgen die Wettbewerbe,Pronto estarán disponibles las competiciones,Concorsi disponibili a breve,Competições em breve,比赛即将推出,Müsabakalar yakında başlıyor,大会が近づいています,대회는 곧 제공됩니다.,المنافسات تفتح قريباً
expandSportClub2Header,Martial Arts Hall,Зал Боевых Искуств ,Salle des Arts Martiaux,Kampfsporthalle,Sala de artes marciales,Sala Arti marziali,Hall de artes marciais,武术馆,Dövüş Sporları Salonu,武道場,무술 홀,غرفة الفنون القتالية
expandSportClub2Message,Further expansion is available at \nLevel {0},Дальнейшее расширение доступо на Уровне {0},Une nouvelle expansion est disponible au \nNiveau {0},Weitere Erweiterung verfügbar auf\nLevel {0},La siguiente expansión está disponible a\nnivel {0},Un'ulteriore espansione è disponibile al\nlivello {0},Outras expansões estarão disponíveis no \nNível {0},下一个扩展在\n第{0}级可用,Daha fazla genişleme {0}. Seviyede açılacaktır,レベル{0}でさらに展開できます,추가 확장:\n레벨 {0},تتوفر التوسعة الإضافية في  المستوى  {0} 
expandSportClub3Header,Racket Sport Hall,Зал Ракетного Спорта,Salle de sport de raquettes,Halle für Schlägersportarten,Sala de deportes de raqueta,Sala del Racquets,Hall de esportes de raquete,球拍类运动馆,Raketli Sporlar Salonu,ラケットスポーツホール,라켓 스포츠 홀,غرفة رياضات المضارب
expandSportClub3Message,Further expansion is available at \nLevel {0},Дальнейшее расширение доступо на Уровне {0},Une nouvelle expansion est disponible au \nNiveau {0},Weitere Erweiterung verfügbar auf\nLevel {0},La siguiente expansión está disponible a\nnivel {0},Un'ulteriore espansione è disponibile al\nlivello {0},Outras expansões estarão disponíveis no \nNível {0},下一个扩展在\n第{0}级可用,Daha fazla genişleme {0}. Seviyede açılacaktır,レベル{0}でさらに展開できます,추가 확장:\n레벨 {0},تتوفر التوسعة الإضافية في المستوى  {0} 
laneQuestLockedHeader,Sport Events,Спортивные События,Événements sportifs,Sportevents,Eventos deportivos,Eventi sportivi,Eventos esportivos,体育赛事,Spor Olayları,スポーツイベント,스포츠 이벤트,الفعاليات الرياضية
laneQuestLockedMessage,Available after unlocking Sport Club,Доступно после открытия Спортивного Зала,Disponible après avoir débloqué le Club de sport,"Verfügbar, wenn der Sportklub freigeschaltet ist",Disponibles tras desbloquear el club deportivo,Disponibile dopo aver sbloccato il Club sportivo,Disponível após desbloquear o Clube esportivo,解锁体育俱乐部后可用,Spor Kulübü açıldıktan sonra açılacaktır,スポーツクラブのアンロック後に利用可能,스포츠 클럽 잠금해제 후 이용 가능,تفتح بعد فتح النادي الرياضي
timeQuestLockedHeader,Time Offers,Временное Предложение,Offres à durée limitée,Zeitlich begrenzte Angebote,Ofertas de tiempo limitado,Offerte a tempo limitato,Ofertas por tempo limitado,限时优惠,Geçici Teklifler,期間限定オファー,한정 기간 혜택,عروض محدودة
timeQuestLockedMessage,Available with Sport Club.,Доступно с открытием Спортивного Зала,Disponible avec le Club de sport.,Verfügbar mit Sportklub.,Disponibles con el club deportivo.,Disponibile con il Club sportivo.,Disponível com o Clube esportivo,随体育俱乐部可用。,Spor Kulübüyle birlikte açılır,スポーツクラブでご利用いただけます。,스포츠 클럽과 함께 이용 가능,متاحة مع النادي الرياضي
timeQuestLockedByLevelMessage,Unlocks at level {0}.,Открывается на уровне {0},Se débloque au niveau {0}.,Wird auf Level {0} freigeschaltet.,Se desbloquea a nivel {0}.,Sblocca al livello {0}.,Desbloqueado no nível {0},在等级{0}解锁。,{0}. seviyede açılır,レベル {0} でアンロックします。,레벨 {0}에 잠금해제,تفتح في المستوى  {0} .
levelUpClientsInc,Total Clients\n+1,Клиентов\n+1,Total Clients\n+1,Gesamtanzahl Kunden\n+1,Total de clientes\n+ 1,Totale clienti\n+1,Total de clientes \n+1,客户总数\n+1,Toplam müşteri\n+1,合計クライアント数\n + 1,총 고객\n+1,عدد العملاء الكلي +1
laneQuestNotEnoughSportsmans,Not enough Professionals,Не хватает Профессионалов,Pas assez de professionnels,Nicht genug Profis,No tienes suficientes profesionales,Professionisti insufficienti,Profissionais não suficientes,专业选手不足,Yeterli Profesyonel yok,プロが足りません,프로 선수 부족,لا محترفين كافين
laneQuestRequireMoreofThis,You Require more of this:,Вам нужно:,Vous avez besoin de plus de :,Du brauchst hiervon mehr:,Necesitas más recursos:,Hai bisogno di più:,Você precisa mais disto:,你需要更多这个：,Şundan daha fazlasına ihtiyacın var:,これがもっと必要です：,다음 것들이 더 필요합니다:,تتطلب المزيد من:
confirrmMaxExpandLevel,Maximum expansion is reached,Достигнут Максимальный размер Зала,L'expansion maximum est atteinte,Mögliche Erweiterungen alle erreicht,Ya no te puedes expandir más,Espansione massima raggiunta,Expansão máxima atingida,达到最大扩展,Azami genişlemeye ulaşıldı,最大拡張に達しました,최대 확장 도달,تم الوصول لأقصى توسيع
confirmNotEnoughRes,Not Enough Resources,Недостаточно Ресурсов,Pas assez de Ressources,Nicht genug Ressourcen,No tienes suficientes recursos,Risorse insufficienti,Recursos insuficientes,没有足够的资源,Yeterli Kaynak Yok,用具が足りません,자원 부족,لا موارد كافية
confirmDoYouLikeColors,Do you like new colors?,Нравятся новые цвета?,Vous aimez les nouvelles couleurs ?,Möchtest du eine neue Farbe?,¿Te gustan los nuevos colores?,Ti piacciono i nuovi colori?,Você gosta de cores novas?,你喜欢新的颜色吗？,Yeni renkleri beğendin mi?,新しい色が好きですか？,새로운 색상이 마음에 드세요?,هل تحب الألوان الجديدة؟
confirmletsPaintGym,Let's paint the gym like that?,Давайте покрасим зал?,On peint la salle de gym comme ça ?,Warum malst du dein Sportstudio nicht so an?,¿Quieres pintar el gimnasio así?,Dipingi la palestra di questo colore?,Vamos pintar a academia assim?,我们把健身房漆成这样好吗？,Spor Salonunu böyle boyayalım mı?,あんな感じにジムを塗ろう？,헬스클럽을 그렇게 칠할까요?,فلندهن النادي بهذا الشكل؟
ConfirmSellEquipmentHeader,Sell item,Продажа Предмета,Vendre objet,Gegenstand verkaufen,Vender objeto,Vendi oggetto,Vender item,出售物品,Eşyayı sat,アイテムの販売,아이템 팔기,بيع العنصر
ConfirmSellEquipmentMessage,Are you sure you want to permanently sell this item?,Вы уверены что хотите продать этот предмет?,Êtes-vous sûr de vouloir vendre cet objet ?,"Bist du dir sicher, dass du diesen Gegenstand verkaufen willst?",¿Seguro que quieres vender este objeto?,Vuoi davvero vendere questo articolo?,Você tem certeza de que quer vender este item?,你确定要出售此物品吗？,Bu eşyayı satmak istediğine emin misin?,このアイテムを売りたいですか？,이 아이템을 정말 파시겠습니까?,هل أنت متأكد من بيع هذا العنصر؟
confirmMoreCoins,You can add more Coins at the Store!,Вы можете добавить Монеты в Магазине!,Vous pouvez ajouter plus de pièces dans la Boutique !,Du kannst mehr Münzen im Shop hinzufügen!,¡Puedes conseguir más monedas en la tienda!,Puoi aggiungere più monete al negozio!,Você pode adicionar mais moedas na loja!,你可以在商店补充更多金币！,Dükkan'dan daha fazla Para alabilirsin,ストアでコインを追加できます！,상점에서 코인을 더 추가할 수 있습니다!,يمكنك إضافة نقود أكثر في المتجر!
confirmNotEnoughCoins,Not Enough Coins!,Недостаточно Монет,Pas assez de pièces,Nicht genug Münzen!,¡No tienes suficientes monedas!,Monete insufficienti!,Moedas insuficientes!\n,金币不足！,Yeterli Para Yok!,コインが足りません!,코인 부족!,لا نقود كافية!
confirmNotEnoughBucks,Not Enough FitBucks!,Мало ФитБаксов!,Pas assez de FitBucks !,Nicht genug FitBucks!,¡No tienes suficientes Fitdólares!,Monete fitness insufficienti!,FitContos insuficientes!,健身币不足！,Yeterli FitPapel Yok!,フィットネスコイン が足りません!,피트벅 부족!,لا يوجد FitBucks كافية!
confirmMoreBucks,You can add more FitBucks at the Store!,Вы можете добавить ФитБаксы в Магазине!,Vous pouvez ajouter plus de FitBucks dans la Boutique !,Du kannst mehr FitBucks im Shop hinzufügen!,¡Puedes conseguir más Fitdólares en la tienda!,Puoi aggiungere più monete fitness al negozio!,Você pode adicionar mais FitContos na loja!,你可以在商店补充更多健身币！,Dükkan'dan daha fazla FitPapel alabilirsin,ストアでフィットネスコインをもっと追加できます！,상점에서 피트벅을 더 추가할 수 있습니다!,يمكنك إضافة FitBucks أكثر في المتجر!
confirmThankYou,Thank you,Спасибо,Merci,Danke!,Gracias,Grazie,Obrigado,谢谢,Teşekkür Ederiz,ありがとう！,감사합니다.,شكراً لك
confirmCollectReward,Collect you Reward,Соберите Награду,Collecter votre Récompense,Hole deine Belohnung ab,Recibir recompensa,Riscuoti la tua ricompensa,Colete sua recompensa,收取你的奖励,Ödülünü Al,報酬を集める,보상을 받으세요.,حصل جائزتك
confirmStorageFullHeader,Storage is Full,Склад Полон,Le stockage est plein,Lager ist voll,El almacén está lleno,Il magazzino è pieno,O depósito está cheio,仓库已满,Depo Dolu,ストレージがいっぱいです,창고 가득 참,المخزن ممتلئ
confirmStorageFullmsg,The Storage is full! Get more space by upgrading your storage.,Склад полон! Расширьте его чтобы увеличить количество места.,Le stockage est plein ! Obtenez plus d'espace en améliorant votre stockage.,"Das Lager ist voll! Hol dir mehr Platz, indem du dein Lager verbesserst.",¡El almacén está lleno! Mejora el almacén para conseguir más espacio.,Il magazzino è pieno! Ottieni più spazio potenziando il tuo magazzino.,O depósito está cheio! Obtenha mais espaço melhorando seu depósito.,仓库已满！升级仓库可以获得更多的空间。,Depo dolu! Deponu geliştirerek daha fazla yer edin.,ストレージがいっぱいです！ストレージをアップグレードして、もっとスペースを確保してください。,창고가 가득 찼습니다! 창고를 업그레이드해서 공간을 더 확보하세요.,المخزن ممتلئ! احصل على مساحة أكبر بتحديث التخزين.
confirmCantAddPro,Cannot add Professional,Недостаточно Места,Impossible d'ajouter Professionnel,Profi kann nicht hinzugefügt werden,No puedes añadir al profesional,Non puoi aggiungere Professionisti,Não é possível adicionar Profissional,无法添加专业选手,Profesyonel Eklenemiyor,プロを追加できません,프로 선수를 추가할 수 없습니다.,لا يمكن إضافة محترفين
confirmBenchFull,Sportsman Bench is full. You may Upgrade it to increase total capacity,"Раздевалка Полна. Улучшите ее, чтобы увеличить вместимость",Le banc de sportif est plein. Vous pouvez l'améliorer pour augmenter sa capacité totale,"Sportlerbank ist voll. Du kannst sie verbessern, damit mehr Sportler darauf passen",El banco de deportistas está lleno. Puedes mejorarlo para aumentar la capacidad total.,La panchina dello sportivo è piena. Puoi potenziarla per aumentare la capacità totale,O Banco de Atletas está cheio. Você melhorá-lo para aumentar a capacidade total.,运动员长凳已满。你可以将其升级以增加总容量,Sporcu Kulübesi dolu. Toplam kapasitesini artırmak için geliştirebilirsin,トレーニングベンチがいっぱいです。総容量を増やすためにアップグレードすることができます。,스포츠맨 벤치가 가득 찼습니다. 업그레이드해서 총 수용력을 늘릴 수 있습니다.,مساحة الجلوس ممتلئة. يمكنك تحديثها لزيادة الاستيعاب الكلي.
storageUpgradedHeader,Storage upgraded,Склад расширен,Stockage amélioré,Lager verbessert,Almacén mejorado,Magazzino potenziato,Armazenamento melhorado,仓库已升级,Depo geliştirildi:,{0}から{1}に,창고 업그레이드 완료,تم تحديث التخزي
storageUpgradedMessage,Your Storage have successfully upgraded and now can hold up to {0} items,Размер Склада увеличен до {0},Votre stockage a avec succès mis à jour et peut maintenant contenir jusqu'à éléments {0},Ihre Speicher erfolgreich aufgerüstet und jetzt halten kann bis zu {0} Artikel,Su almacenamiento se han actualizado con éxito y ahora admite un máximo de {0} artículos,Il vostro bagagli ha aggiornato con successo e ora può contenere fino a {0} articoli,Seu armazenamento ter atualizado com êxito e agora pode armazenar até {0} itens,您的存储已成功升级，现在最多可容纳{0}项目,Depolama başarıyla {0} öğeye kadar tutabilir şimdi yükseltilmiş ve adres,あなたのストレージが正常にアップグレードし、現在{0}アイテムまで保持することができます,스토리지가 성공적으로 {0} 개의 항목을 저장할 수있는 지금 업그레이드 한,التخزين الخاص بالترقية بنجاح، والآن يمكن أن تعقد ما يصل إلى {0} البنود
confirmOpenShop,Open Shop,Открыть Магазин,Ouvrir boutique,Shop öffnen,Abrir tienda,Apri il negozio,Abrir loja,打开商店,Dükkanı Aç,ショップを開く,상점 열기,فتح المتجر
confirmPurchaseNow,Purchase now,Купить,Acheter maintenant,Jetzt kaufen,Comprar ahora,Acquista ora,Comprar agora,立即购买,Şimdi satın al,今すぐ購入,지금 구입,شراء الآن
confirmSkipVisitorHeader,Show the door,Выгнать клиента,Montrer la porte,Rauswerfen,Echar,Accompagna alla porta,Mostrar a porta,送出门,Kapıyı göster,追い出す,내보내기,رفض العميل
confirmSkipVisitorMessage,Are you sure you want to show the door to this Client?,Вы уверены что хотите выгнать клиента?,Êtes-vous sûr de vouloir montrer la porte à ce client ?,"Bist du dir sicher, dass du diesen Kunden rauswerfen willst?",¿Seguro que quieres echar a este cliente?,Vuoi davvero accompagnare alla porta questo cliente?,Você tem certeza de que deseja mostrar a porta para este cliente?,你确定要把这个客户送出门去吗？,Bu müşteriye kapıyı göstermek istediğine emin misin?,本当にこのクライアントを追い出しますか？,이 고객을 정말 내보내시겠습니까?,هل أنت متأكد من رفضك لهذا العميل؟
confirmSkipJuicerHeader,Show the door,Выгнать клиента,Montrer la porte,Rauswerfen,Echar,Accompagna alla porta,Mostrar a porta,送出门,Kapıyı göster,追い出す,내보내기,رفض العميل
confirmSkipJuicerMessage,Are you sure you want to show the door to this Client?,Вы уверены что хотите выгнать клиента?,Êtes-vous sûr de vouloir montrer la porte à ce client ?,"Bist du dir sicher, dass du diesen Kunden rauswerfen willst?",¿Seguro que quieres echar a este cliente?,Vuoi davvero accompagnare alla porta questo cliente?,Você tem certeza de que deseja mostrar a porta para este cliente?,你确定要把这个客户送出门去吗？,Bu müşteriye kapıyı göstermek istediğine emin misin?,本当にこのクライアントを追い出しますか？,이 고객을 정말 내보내시겠습니까?,هل أنت متأكد من رفضك لهذا العميل؟
idNewTrainer,Rename Trainer,Новое имя Тренера,Renommer l'Entraîneur,Trainer umbenennen,Cambiar nombre del entrenador,Rinomina Allenatore,Renomear Treinador,重命名教练,Antrenörü yeniden isimlendir,トレーナーの名前を変更,트레이너 이름 변경,إعادة تسمية المدرب
idTrainerRenameRequest,You can change the name of this Trainer. Do you want to do it now?,Вы можете поменять имя Тренера. Хотите сделать это сейчас?,Vous pouvez changer le nom de cet Entraîneur. Voulez-vous le faire maintenant ?,Du kannst den Namen dieses Trainers ändern. Möchtest du das jetzt tun?,Puedes cambiar el nombre de este entrenador. ¿Quieres hacerlo ahora?,Puoi modificare il nome di questo Allenatore. Vuoi farlo adesso?,Você pode mudar o nome deste Treinador. Você quer fazer isso agora?,你可以更改此教练的名称。想立即更改吗？,Bu Antrenörün ismini değiştirebilirsin. Bunu şimdi yapmak ister misin?,このトレーナーの名前を変更することができます。今すぐ変更しますか？,이 트레이넘의 이름을 변경할 수 있습니다. 그렇게 하시겠습니까?,يمكنك تغيير اسم المدرب، هل ترغب بفعل ذلك الآن؟
skipAll,Training Hype,Все на тренировку,Tendance d'entraînement,Trainiertrend,Entrenamiento en subidón,Attesa per l'allenamento,Hype de treinamento,训练激励,Antrenman İğnesi,トレーニングタイプ,전원 훈련,جنون التدريب
skipAllConfirmQuestion,Do you wish to instantly train all your current Clients?,Хотите ли Вы мгновенно потренировать всех своих клиентов?,Voulez-vous instantanément entraîner tous vos clients actuels ?,Möchtst du sofort all deine aktuellen Kunden trainieren?,¿Quieres entrenar al instante a todos tus clientes?,Vuoi allenare istantaneamente tutti i tuoi clienti attuali?,Você deseja treinar instantaneamente todos os seus clientes atuais?,你想要立即训练目前的所有客户吗？,Tüm mevcut Müşterilerini anında eğitmek ister misin?,進行中のクライアントのトレーニングを今すぐ終了させますか？,현재 고객들을 전부 즉시 훈련시킬까요?,هل ترغب بتدريب كل عملائك الحاليين فوراً؟
wheelOpenedHeader,Wheel of Fortune,Колесо Фортуны,Roue de la Fortune,Glücksrad,Ruleta de la suerte,Ruota della fortuna,Roda da Fortuna,幸运轮盘,Çarkıfelek,ルーレット,행운의 돌림판,دولاب الحظ
wheelOpenedMessage,Spin and win valuable prizes,Участвуйте и выигрывайте ценные призы!,Faites-la tourner et remporter des prix,Drehen und wertvolle Preise gewinnen,Gira y consigue valiosos premios,Girala e ottieni ricchi premi,Gire e ganhe prêmios valiosos,旋转并赢得有价值的奖品,Çevir ve değerli ödüller kazan,賞品を当てよう,돌려서 값진 보상을 획득하세요.,قم بتدويره لتربح جوائز قيمة
idUnfollowConfirmHeader,Unfollow,Убрать из подписчиков,Ne plus suivre,Entfernen,Dejar de seguir,Non seguire più,Deixar de seguir,取消关注,Takibi bırak,アンフォロー,언팔로우,إلغاء المتابعة
idUnfollowConfirmQuestion,Are you sure you want to remove this player from your followers list?,"Вы уверены, что хотите удалить этого игрока из Вашего списка последователей?",Voulez-vous vraiment retirer ce joueur de votre liste de followers ?,"Bist du dir sicher, dass du diesen Spieler von deiner Liste löschen willst?",¿Seguro que quieres eliminar a este amigo de la lista de gente a la que sigues?,Vuoi davvero eliminare questo tuo amico dalla lista delle persone che segui?,Você tem certeza de que deseja remover este jogador da sua lista de pessoas que você segue?,你确定要从粉丝列表中移除此玩家吗？,Bu oyuncuyu takipçi listenden çıkarmak istediğine emin misin?,このプレイヤーをフォロワーリストから削除します、よろしいですか？,정말 이 플레이어를 팔로워 목록에서 제거하시겠습니까?,هل أنت متأكد؟ هل تريد إزالة هذا اللاعب من قائمة متابعيك؟
WOFWilUnlockAtHeader,Wheel of Fortune,Колесо Фортуны,Roue de la Fortune,Glücksrad,Ruleta de la suerte,Ruota della fortuna,Roda da Fortuna,幸运轮盘,Çarkıfelek,ルーレット,행운의 돌림판,دولاب الحظ
WOFWilUnlockAtMsg,Unlocks at level,Открывается на уровне,Se débloque à,Wird freigeschaltet ab,Se desbloquea en el:,Si sblocca al:,Desbloqueado no,解锁于：,Açılmasına,アンロック:,잠금 해제:,تفتح عند
msgEquipForTrainHeader,No Such Equipment in Gym,Нет требуемого тренажера,Aucun équipement de cette sorte dans la Gym,Ein solches Gerät gibt es nicht im Studio,No tienes este equipo en el gimnasio.,Attrezzi non presenti in palestra,Não há este equipamento na academia,健身房里没有这样的器材,Spor Salonunda Böyle Bir Ekipman Yok,ジムにそんな器具はありません,헬스장에 그런 장비는 없습니다.,لا هذه المعدات في الجمنازيوم
msgEquipForTrainMessage,The required equipment is not available! But you can buy such in the Shop,У вас нет необходимого оборудования. Но вы можете купить его в Магазине,L'équipement demandé n'est pas disponible ! Mais vous pouvez en acheter dans la Boutique,Das erforderliche Gerät ist nicht verfügbar! Aber du kannst es im Shop kaufen,¡El equipo que necesitas no está disponible! Puedes comprarlo en la tienda.,"Gli attrezzi necessari non sono disponibili, ma puoi sempre acquistarli nel Negozio",O equipamento necessário não está disponível! Mas você pode comprá-lo na Loja,所需的器材不可用！但你可以在商店里购买,İstenilen ekipman kullanılabilir değil! Ama Mağazadan alabilirsin,必要な器具が利用できません！ショップでなら買うことができますよ,필요한 장비를 이용할 수 없습니다! 하지만 상점에서 구입할 수 있습니다.,المعدات المطلوبة غير متوفرة! ولكن يمكنك شراء مثل في متجر
InAppPurchaseMessageFormat,Failed to purchase '{0}'.\n{1},Не удалось приобрести '{0}'.\n{1},Impossible d'acheter '{0}'.\n{1},Kauf von '{0}‘ ist fehlgeschlagen.\n{1},Error al comprar '{0}'.\n{1},Non hai potuto comprare '{0}'.\n{1},Falha ao comprar "{0}".\n{1},无法购买“{0}”。\n{1},{0}' satın alınamadı.\n{1},{0}'の購入に失敗しました。\n{1},{0}' 구매 실패.\n{1},فشل شراء ' {0} '. {1} 
InAppPurchaseFailureReasonPurchasingUnavailableHeader,Purchasing is unavailable,Покупка не доступна,L'achat est indisponible,Kauf nicht möglich,Las compras no están disponibles,Acquisto non disponibile,Compra indisponível,购买不可用,Satın alma şu an müsait değil,購入は利用できません,구매 불가,الشراء غير متوفر
InAppPurchaseFailureReasonPurchasingUnavailableMessage,In-App purchases are unavailable or disabled in system settings.,Покупки не доступны или отключены в системных настройках.,Les achats intégrés sont indisponibles ou désactivés dans les paramètres système.,In-App-Käufe sind nicht verfügbar oder in den Systemeinstellungen deaktiviert.,Las compras desde la aplicación no están disponibles o se han desactivado en los ajustes del sistema.,Gli acquisti In-App non sono disponibili oppure sono stati disabilitati nelle impostazioni di sistema.,Compras dentro do aplicativo estão indisponíveis ou desabilitadas nas configurações do sistema.,应用内购买不可用或在系统设置中被禁用。,Uygulama içi satışlar müsait değil ya da sistem ayarlarında kapalı durumda,アプリ内購入がシステム設定では利用できないか無効になっています。,앱 구매를 진행할 수 없거나 시스템 설정에서 꺼져 있습니다.,الشراء داخل التطبيق غير متوفر أو غير مفعل في إعدادات النظام
InAppPurchaseFailureReasonExistingPurchasePendingHeader,Existing purchase is pending,Обрабатывается предыдущая покупка,L'achat existant est en attente,Vorhandener Kauf steht noch aus,Ya está pendiente otra compra,Acquisto esistente in sospeso,A compra atual está pendente,现有购买待处理,Sırada bekleyen satın alma var,既存の購入は保留中です,기존 구매 보류 중,جاري انتظار عملية الشراء الحالية
InAppPurchaseFailureReasonExistingPurchasePendingMessage,A purchase was already in progress when a new purchase was requested. Please wait until previous purchase is finished.,"Покупка была совершена во время обработки системой другой покупки. Пожалуйста, подождите окончания обработки предыдущей покупки.",Un achat était déjà en cours lorsqu'un nouvel achat a été demandé. Veuillez patienter jusqu'à ce que l'achat précédent soit terminé.,"Ein Kauf wurde bereits bearbeitet, als ein neuer Kauf getätigt wurde. Bitte warte, bis der vorherige Kauf abgeschlossen ist.",Se estaba efectuando una compra cuando se solicitó una nueva compra. Espera hasta que se complete la compra anterior.,Un acquisto era già in sospeso nel momento in cui ne hai richiesto uno nuovo. Ti preghiamo di attendere fino al termine del primo acquisto.,Uma compra já estava em andamento quando uma nova compra foi solicitada. Aguarde até que a compra anterior seja concluída.,在提交新的购买时，已有购买在进行中。请等到上次购买完成。,Yeni bir satın alma istendiğinde hala beklemekte olan bir başka satın alma vardı. Lütfen önceki satın almanın tamamlanmasını bekle,新しい購入が要求された時点で、購入が既に進行中でした。前の購入が終了するまでお待ちください。,새로운 구매가 요청됐을 때 이미 구매가 진행 중이었습니다. 이전 구매가 완료될 때까지 기다려주세요.,كانت عملية شراء تتم عندما قمت بعملية شراء جديدة. الرجاء الانتظار حتى انتهاء عملية الشراء السابقة.
InAppPurchaseFailureReasonProductUnavailableHeader,Product is unavailable,Продукт недоступен,Le produit est indisponible,Produkt nicht verfügbar,El producto no está disponible,Prodotto non disponibile,O produto está indisponível,商品不可用,Ürün mevcut değil,製品は使用できません,제품 없음,المنتج غير متوفر
InAppPurchaseFailureReasonProductUnavailableMessage,Requested product is not available to be purchased in the store.,Запрошенный продукт недоступен для покупки в магазине.,Le produit demandé n'est pas disponible à l'achat dans la boutique.,Das gewünschte Produkt kann nicht im Shop gekauft werden.,El producto solicitado no está disponible en la tienda.,Il prodotto richiesto non è disponibile per l'acquisto nel negozio.,O produto solicitado não está disponível para ser comprado na loja.,要求的产品不可在商店购买。,Talep edilen ürün dükkanda mevcut değil,要求された製品はストアで購入できません。,요청한 제품은 상점에서 구입할 수 없습니다.,المنتج المطلوب غير متوفر للشراء في المتجر
InAppPurchaseFailureReasonSignatureInvalidHeader,Payment signature invalid,Покупка не прошла проверку достоверности,Signature de paiement invalide,Zahlungssignatur ist ungültig,Firma del pago inválida,Firma di pagamento non valida,Assinatura de pagamento inválida,付款签名无效,Ödeme imzası geçersiz,署名が無効です,유효하지 않은 결제 서명,توقيع الدفع غير صالح
InAppPurchaseFailureReasonSignatureInvalidMessage,Signature validation of the purchase receipt failed. We will try to confirm your payment every time the application starts. Please contact our support team if the problem persists.,Не удалось проверить платеж на достоверность. Мы будем пытаться сделать повторную проверку платежа при следующем запуске игры. Пожалуйса свяжитесь со службой поддержки если проблема повторяется снова.,La validation de signature du reçu de l'achat a échoué. Nous essaierons de confirmer votre paiement à chaque fois que l'application démarrera. Veuillez contacter notre équipe d'assistance si le problème persiste.,"Signaturbestätigung für den Kauf ist fehlgeschlagen. Wir versuchen, deine Zahlung vor jedem Start der App zu bestätigen. Bitte setze dich mit unserem Support-Team in Verbindung, wenn das Problem weiter besteht.",La validación de la firma del recibo de la compra no se completó. Intentaremos confirmar tu pago cada vez que se inicie la aplicación. Ponte en contacto con nuestro equipo de atención al cliente si persiste el problema.,Non hai potuto convalidare la firma della ricevuta di acquisto. Proveremo a confermarti il pagamento a ogni avvio dell'applicazione. Ti preghiamo di contattare l'assistenza clienti se il problema persiste.,Falha na validação da assinatura do recibo de compra. Tentaremos confirmar seu pagamento toda vez que o aplicativo for iniciado. Entre em contato com a nossa equipe de suporte se o problema persistir.,购买收据的签名验证失败。我们会在每次应用程序启动时尝试确认你的付款。如果问题仍然存在，请联系我们的客户支持团队。,Satın alma makbuzunun imza onaylaması başarısız oldu. Uygulama her başladığında satın almanı onaylamaya çalışacağız. Eğer sorun devam ederse lütfen destek ekibi ile irtibat kur.,領収書の署名の検証に失敗しました。申請が開始されるたびにお支払いを確認します。問題が解決しない場合は、サポートチームにお問い合わせください。,구매 수신의 서명 인증에 실패했습니다. 앱이 시작될 때마다 결제 확인을 시도하겠습니다. 문제가 지속되면 저희 지원팀에 문의하세요.,مطابقة التوقيع لوصل الشراء فشلت. سنحاول تأكيد دفعتك كلما فتحت التطبيق. الرجاء التواصل مع فريق الدعم إذا استمرت المشكلة.
InAppPurchaseFailureReasonPaymentDeclinedHeader,Payment declined,Оплата отклонена,Paiement refusé,Zahlung abgelehnt,Pago rechazado,Pagamento rifiutato,Pagamento recusado,付款被拒,Ödeme reddedildi,支払いが拒否されました,결제 실패,رفض الدفعة
InAppPurchaseFailureReasonPaymentDeclinedMessage,Please check your payment settings and try again.,"Пожалуйста, проверьте настройки покупок и попробуйте снова.",Veuillez vérifier les paramètres de votre paiement et réessayer.,Bitte überprüfe deine Zahlungseinstellungen und versuche es erneut.,Comprueba tus ajustes de pago y vuelve a intentarlo.,Ti preghiamo di controllare le tue impostazioni di pagamento e di riprovare.,Verifique suas configurações de pagamento e tente de novo.,请检查你的付款设置，然后重试。,Lütfen ödeme bilgilerini yeniden girerek yeniden dene.,お支払い設定を確認して、もう一度お試しください。,결제 설정을 확인하고 다시 시도하세요.,الرجاء التأكد من إعدادات الدفع والمحاولة مجدداً.
